file,size,heuristic_rects,heuristic_sel_pct,heuristic_payload_pct,heuristic_ms,iforest_rects,iforest_sel_pct,iforest_payload_pct,iforest_ms
"106007.31798124313 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,315,59.74,60.35,46,319,16.36,16.98,158
"106053.54396820068 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,251,57.5,57.99,46,417,18.95,19.75,173
"106103.43099164963 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,289,60.31,60.86,47,361,16.22,16.91,172
"106151.16199588776 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,303,60.14,60.72,56,308,13.41,14.0,143
"106199.20294427872 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,243,58.56,59.03,47,309,15.38,15.97,172
"106247.49095392227 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,295,61.66,62.23,66,316,15.28,15.89,154
"106295.26797294617 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,239,59.37,59.83,47,319,14.64,15.25,157
"106341.46695899963 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,228,59.77,60.21,47,275,11.29,11.82,157
"106389.45694541931 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,262,60.14,60.64,56,342,16.34,17.0,157
"106437.46099853516 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,300,63.29,63.86,62,406,20.3,21.08,157
"106485.50695371628 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,222,60.92,61.35,47,389,19.19,19.94,172
"106534.02998447418 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,301,67.44,68.02,58,427,21.65,22.47,161
"106581.59999656677 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,279,68.04,68.57,47,423,20.94,21.75,156
"106629.455991745 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,259,68.77,69.27,44,436,26.11,26.95,172
